Sale ID,Date,Item ID,Batch ID,Product Type,Species,Grade,Finish,Dominant Color,Color Count (#),Customer Type,Customer Name,Country,City,Channel,Lead Source,Price (CAD),Discount (CAD),Shipping (CAD),Taxes Collected (CAD),Payment Method,COA #,Shipped Date,Consignment? (Y/N),Consignment Owner,Export Permit (PDF link),length,width,weight,Channel_Type,Days_To_Ship,Jewelry Type,Metal Type
S-0032,2025-02-20,I-0032,B-2025-032,Gemstone,Ammolite Triplet,A,Coated,Red,2,Retail Collector,Ethan Lee,Canada,Vancouver,Wholesale,Website,120.0,11.1,7.56,5.44,Bank Transfer,COA-000131,2025-02-27,N,,C:\Permits\EXP-5031.pdf,25.0,48.0,14.0,Wholesale,7,,
S-0033,2025-02-24,I-0033,B-2025-033,Gemstone,Ammolite Triplet,A,Coated,Blue,1,Gallery,Evelyn Kim,USA,Seattle,In-Person,Instagram,363.0,43.34,36.34,0.0,Credit Card,COA-000132,2025-11-11,N,,C:\Permits\EXP-5032.pdf,66.0,55.0,17.6,Wholesale,260,,
S-0034,2025-09-01,I-0034,B-2025-034,Gemstone,Ammolite Triplet,AAA,Coated,Yellow,4,Retail Collector,Elizabeth Brown,USA,Seattle,In-Person,Walk-in,470.0,13.29,0.0,0.0,Credit Card,COA-000133,2025-11-09,N,,C:\Permits\EXP-5033.pdf,47.0,25.0,11.0,Wholesale,69,,
S-0035,2025-05-11,I-0035,B-2025-035,Gemstone,Ammolite Triplet,A,Coated,Yellow,2,Retail Collector,Elizabeth Anderson,USA,Los Angeles,Online,Instagram,355.2,26.11,25.4,0.0,Bank Transfer,COA-000134,2025-06-02,Y,NorthArt,C:\Permits\EXP-5034.pdf,74.0,48.0,18.4,Wholesale,22,,
S-0036,2025-11-03,I-0036,B-2025-036,Gemstone,Ammolite Triplet,AAA,Coated,Purple,3,Gallery,Amelia Clark,USA,Los Angeles,In-Person,Referral,1065.6,19.01,8.08,0.0,Bank Transfer,COA-000135,2025-11-10,Y,,C:\Permits\EXP-5035.pdf,74.0,36.0,13.8,Wholesale,7,,
S-0037,2025-05-15,I-0037,B-2025-037,Gemstone,Ammolite Triplet,A,Coated,Yellow,2,Gallery,Evelyn Turner,USA,New York,In-Person,Referral,359.9,43.52,28.52,0.0,Bank Transfer,COA-000136,2025-05-21,N,,C:\Permits\EXP-5036.pdf,61.0,59.0,5.3,Wholesale,6,,
S-0038,2025-01-21,I-0038,B-2025-038,Gemstone,Ammolite Triplet,AAA,Coated,Blue,3,Retail Collector,Noah Taylor,Canada,Toronto,In-Person,Instagram,228.0,4.9,15.72,11.16,PayPal,COA-000137,2025-04-28,Y,,C:\Permits\EXP-5037.pdf,38.0,15.0,24.9,Wholesale,97,,
S-0039,2025-06-16,I-0039,B-2025-039,Gemstone,Ammolite Triplet,A,Coated,Orange,2,Retail Collector,Logan Campbell,USA,Los Angeles,Wholesale,Website,98.6,26.38,26.2,0.0,PayPal,COA-000138,2025-08-01,N,,C:\Permits\EXP-5038.pdf,34.0,29.0,14.4,Wholesale,46,,
S-0040,2025-10-01,I-0040,B-2025-040,Gemstone,Ammolite Triplet,AA,Coated,Purple,2,Retail Collector,Harper Brown,Canada,Calgary,Online,Referral,392.7,49.87,31.3,17.14,Bank Transfer,COA-000139,2025-10-06,N,,C:\Permits\EXP-5039.pdf,34.0,33.0,6.7,Wholesale,5,,
S-0041,2025-03-30,I-0041,B-2025-041,Gemstone,Ammolite Triplet,A,Coated,Green,2,Gallery,Grace Lee,Canada,Toronto,Wholesale,Walk-in,163.2,31.69,0.0,6.58,PayPal,COA-000140,2025-04-06,Y,,C:\Permits\EXP-5040.pdf,48.0,34.0,21.9,Wholesale,7,,
S-0042,2025-01-14,I-0042,B-2025-042,Gemstone,Ammolite Triplet,A,Coated,Purple,2,Retail Collector,Evelyn Moore,USA,Seattle,Wholesale,Instagram,92.0,19.46,29.35,0.0,Credit Card,COA-000141,2025-11-11,Y,GemWorld,C:\Permits\EXP-5041.pdf,46.0,20.0,22.4,Wholesale,301,,
S-0043,2025-08-30,I-0043,B-2025-043,Gemstone,Ammolite Triplet,AA,Coated,Yellow,2,Retail Collector,Lucas Clark,USA,Portland,Wholesale,Website,196.0,40.1,13.69,0.0,PayPal,COA-000142,2025-11-11,N,,C:\Permits\EXP-5042.pdf,20.0,28.0,7.7,Wholesale,73,,
S-0044,2025-09-22,I-0044,B-2025-044,Gemstone,Ammolite Triplet,AA,Coated,Purple,2,Retail Collector,Jacob Garcia,Canada,Vancouver,Wholesale,Walk-in,361.9,42.31,0.0,15.98,Bank Transfer,COA-000143,2025-10-22,Y,NorthArt,C:\Permits\EXP-5043.pdf,47.0,22.0,8.3,Wholesale,30,,
S-0045,2025-02-22,I-0045,B-2025-045,Gemstone,Ammolite Triplet,AAA,Coated,Purple,4,Gallery,Lucas Garcia,Canada,Calgary,Wholesale,Instagram,938.0,36.08,6.15,45.1,Bank Transfer,COA-000144,2025-10-09,Y,,C:\Permits\EXP-5044.pdf,67.0,35.0,21.4,Wholesale,229,,
S-0046,2025-04-02,I-0046,B-2025-046,Gemstone,Ammolite Triplet,AAA,Coated,Orange,4,Gallery,Jacob Lee,Canada,Toronto,Online,Walk-in,360.0,34.93,0.0,16.25,Bank Transfer,COA-000145,2025-07-20,N,,C:\Permits\EXP-5045.pdf,20.0,45.0,20.5,Wholesale,109,,
S-0047,2025-09-21,I-0047,B-2025-047,Gemstone,Ammolite Triplet,A,Coated,Green,1,Retail Collector,Evelyn Nguyen,USA,Los Angeles,In-Person,Referral,275.4,0.68,28.53,0.0,PayPal,COA-000146,2025-11-11,N,,C:\Permits\EXP-5046.pdf,54.0,51.0,8.6,Wholesale,51,,
S-0048,2025-02-04,I-0048,B-2025-048,Gemstone,Ammolite Triplet,AA,Coated,Green,3,Gallery,Amelia White,USA,Seattle,Wholesale,Walk-in,358.75,47.83,0.0,0.0,Bank Transfer,COA-000147,2025-08-22,N,,C:\Permits\EXP-5047.pdf,25.0,41.0,21.5,Wholesale,199,,
S-0049,2025-07-25,I-0049,B-2025-049,Gemstone,Ammolite Triplet,A,Coated,Red,2,Retail Collector,Jacob Martin,Canada,Vancouver,In-Person,Website,136.0,18.12,7.23,5.89,Bank Transfer,COA-000148,2025-07-29,Y,NorthArt,C:\Permits\EXP-5048.pdf,68.0,20.0,24.1,Wholesale,4,,
S-0050,2025-03-22,I-0050,B-2025-050,Gemstone,Ammolite Triplet,AAA,Coated,Yellow,4,Retail Collector,Hannah Lee,Canada,Montreal,In-Person,Instagram,386.4,26.61,22.82,17.99,Credit Card,COA-000149,2025-06-01,N,,C:\Permits\EXP-5049.pdf,42.0,23.0,13.3,Wholesale,71,,
S-0051,2025-02-19,I-0051,B-2025-051,Gemstone,Ammolite Triplet,A,Coated,Blue,2,Retail Collector,Grace Smith,USA,Los Angeles,Online,Referral,160.0,28.69,15.6,0.0,Credit Card,COA-000150,2025-02-21,N,,C:\Permits\EXP-5050.pdf,32.0,50.0,10.2,Wholesale,2,,
S-0052,2025-01-02,I-0052,B-2025-052,Gemstone,Ammolite Triplet,A,Coated,Green,2,Retail Collector,Henry Smith,USA,Los Angeles,In-Person,Walk-in,182.0,43.36,0.0,0.0,Credit Card,COA-000151,2025-02-21,Y,,C:\Permits\EXP-5051.pdf,35.0,52.0,6.3,Wholesale,50,,
S-0053,2025-02-23,I-0053,B-2025-053,Gemstone,Ammolite Triplet,AAA,Coated,Yellow,3,Retail Collector,Harper Young,USA,Los Angeles,Online,Walk-in,410.0,48.3,0.0,0.0,Bank Transfer,COA-000152,2025-06-14,Y,,C:\Permits\EXP-5052.pdf,25.0,41.0,20.5,Wholesale,111,,
S-0054,2025-04-16,I-0054,B-2025-054,Gemstone,Ammolite Triplet,A,Coated,Yellow,1,Gallery,Henry Young,USA,New York,In-Person,Website,133.0,40.08,10.69,0.0,Bank Transfer,COA-000153,2025-08-24,Y,StoneHouse,C:\Permits\EXP-5053.pdf,70.0,19.0,19.8,Wholesale,130,,
S-0055,2025-09-17,I-0055,B-2025-055,Gemstone,Ammolite Triplet,A,Coated,Yellow,1,Gallery,Chloe White,Canada,Toronto,Wholesale,Instagram,142.8,42.85,20.2,5.0,PayPal,COA-000154,2025-11-11,N,,C:\Permits\EXP-5054.pdf,34.0,42.0,22.2,Wholesale,55,,
S-0056,2025-11-06,I-0056,B-2025-056,Gemstone,Ammolite Triplet,A,Coated,Green,2,Gallery,Sofia Anderson,Canada,Calgary,Wholesale,Walk-in,102.0,22.86,0.0,3.96,PayPal,COA-000155,2025-11-10,N,,C:\Permits\EXP-5055.pdf,68.0,15.0,14.0,Wholesale,4,,
S-0057,2025-07-10,I-0057,B-2025-057,Gemstone,Ammolite Triplet,AA,Coated,Green,3,Retail Collector,Lucas Smith,Canada,Vancouver,Online,Instagram,1298.5,34.8,21.51,63.18,PayPal,COA-000156,2025-07-13,Y,NorthArt,C:\Permits\EXP-5056.pdf,70.0,53.0,21.2,Wholesale,3,,
S-0058,2025-08-06,I-0058,B-2025-058,Gemstone,Ammolite Triplet,A,Coated,Blue,2,Gallery,Owen Johnson,USA,Portland,Online,Website,161.7,11.05,27.13,0.0,Credit Card,COA-000157,2025-08-08,N,,C:\Permits\EXP-5057.pdf,33.0,49.0,21.6,Wholesale,2,,
S-0059,2025-02-13,I-0059,B-2025-059,Gemstone,Ammolite Triplet,AA,Coated,Green,2,Gallery,Emma Garcia,Canada,Vancouver,Online,Website,642.6,37.34,29.3,30.26,Credit Card,COA-000158,2025-10-14,Y,GemWorld,C:\Permits\EXP-5058.pdf,34.0,54.0,21.3,Wholesale,243,,
S-0060,2025-06-11,I-0060,B-2025-060,Gemstone,Ammolite Triplet,A,Coated,Red,1,Retail Collector,Olivia Smith,Canada,Toronto,In-Person,Website,211.5,5.96,33.0,10.28,Credit Card,COA-000159,2025-11-02,N,,C:\Permits\EXP-5059.pdf,47.0,45.0,15.0,Wholesale,144,,
S-0061,2025-07-21,I-0061,B-2025-061,Gemstone,Ammolite Triplet,A,Coated,Green,2,Gallery,Logan Clark,USA,Portland,Wholesale,Instagram,111.3,16.2,19.87,0.0,Bank Transfer,COA-000160,2025-07-28,N,,C:\Permits\EXP-5060.pdf,53.0,21.0,23.9,Wholesale,7,,
S-0062,2025-09-27,I-0062,B-2025-062,Gemstone,Ammolite Triplet,AAA,Coated,Green,3,Gallery,Chloe Taylor,Canada,Vancouver,In-Person,Website,901.6,27.79,17.22,43.69,Credit Card,COA-000161,2025-10-04,Y,,C:\Permits\EXP-5061.pdf,49.0,46.0,16.5,Wholesale,7,,
S-0063,2025-10-31,I-0063,B-2025-063,Gemstone,Ammolite Triplet,A,Coated,Green,1,Gallery,Noah Lee,Canada,Montreal,In-Person,Website,56.0,8.98,22.62,2.35,PayPal,COA-000162,2025-11-02,N,,C:\Permits\EXP-5062.pdf,35.0,16.0,17.9,Wholesale,2,,
S-0064,2025-09-28,I-0064,B-2025-064,Gemstone,Ammolite Triplet,AA,Coated,Orange,2,Gallery,Daniel Taylor,USA,New York,Wholesale,Walk-in,514.5,38.66,0.0,0.0,Bank Transfer,COA-000163,2025-09-29,Y,GemWorld,C:\Permits\EXP-5063.pdf,35.0,42.0,17.2,Wholesale,1,,
S-0065,2025-08-03,I-0065,B-2025-065,Gemstone,Ammolite Triplet,AAA,Coated,Red,4,Gallery,Grace Rodriguez,Canada,Calgary,In-Person,Website,459.2,12.01,15.14,22.36,PayPal,COA-000164,2025-11-11,Y,GemWorld,C:\Permits\EXP-5064.pdf,28.0,41.0,21.1,Wholesale,100,,
S-0066,2025-09-09,I-0066,B-2025-066,Gemstone,Ammolite Triplet,AAA,Coated,Green,3,Retail Collector,Henry Campbell,USA,Portland,Wholesale,Referral,1462.8,39.59,24.81,0.0,PayPal,COA-000165,2025-11-11,N,,C:\Permits\EXP-5065.pdf,69.0,53.0,11.7,Wholesale,63,,
S-0067,2025-07-09,I-0067,B-2025-067,Gemstone,Ammolite Triplet,AA,Coated,Green,3,Retail Collector,Alex Clark,Canada,Calgary,Wholesale,Instagram,571.2,39.53,16.21,26.58,Credit Card,COA-000166,2025-11-11,Y,GemWorld,C:\Permits\EXP-5066.pdf,51.0,32.0,5.1,Wholesale,125,,
S-0068,2025-10-23,I-0068,B-2025-068,Gemstone,Ammolite Triplet,AAA,Coated,Red,4,Retail Collector,Olivia Clark,USA,Seattle,Wholesale,Referral,977.6,43.76,36.39,0.0,PayPal,COA-000167,2025-10-28,Y,,C:\Permits\EXP-5067.pdf,47.0,52.0,17.6,Wholesale,5,,
S-0069,2025-08-01,I-0069,B-2025-069,Gemstone,Ammolite Triplet,AA,Coated,Blue,2,Gallery,Evelyn Moore,USA,New York,Wholesale,Website,193.2,34.95,38.12,0.0,PayPal,COA-000168,2025-08-05,N,,C:\Permits\EXP-5068.pdf,24.0,23.0,19.1,Wholesale,4,,
S-0070,2025-07-27,I-0070,B-2025-070,Gemstone,Ammolite Triplet,AA,Coated,Orange,3,Retail Collector,Emily Patel,USA,New York,In-Person,Website,1470.0,22.0,21.1,0.0,PayPal,COA-000169,2025-08-01,Y,,C:\Permits\EXP-5069.pdf,75.0,56.0,17.1,Wholesale,5,,
S-0071,2025-08-25,I-0071,B-2025-071,Gemstone,Ammolite Triplet,AA,Coated,Red,3,Retail Collector,Benjamin Wong,Canada,Montreal,Wholesale,Website,821.1,27.66,7.5,39.67,Bank Transfer,COA-000170,2025-09-04,N,,C:\Permits\EXP-5070.pdf,46.0,51.0,14.9,Wholesale,10,,
S-0072,2025-02-22,I-0072,B-2025-072,Gemstone,Ammolite Triplet,AAA,Coated,Orange,4,Gallery,Logan Kim,USA,Portland,Wholesale,Walk-in,561.6,29.56,0.0,0.0,PayPal,COA-000171,2025-11-11,Y,NorthArt,C:\Permits\EXP-5071.pdf,26.0,54.0,15.5,Wholesale,262,,
S-0073,2025-10-07,I-0073,B-2025-073,Gemstone,Ammolite Triplet,A,Coated,Purple,1,Gallery,Alex Young,Canada,Vancouver,Online,Instagram,99.0,0.37,37.92,4.93,PayPal,COA-000172,2025-10-09,N,,C:\Permits\EXP-5072.pdf,66.0,15.0,9.0,Wholesale,2,,
S-0074,2025-08-05,I-0074,B-2025-074,Gemstone,Ammolite Triplet,A,Coated,Yellow,1,Gallery,Henry Rodriguez,Canada,Vancouver,In-Person,Website,125.4,41.59,24.88,4.19,PayPal,COA-000173,2025-10-12,Y,GemWorld,C:\Permits\EXP-5073.pdf,22.0,57.0,13.4,Wholesale,68,,
S-0075,2025-09-09,I-0075,B-2025-075,Gemstone,Ammolite Triplet,AAA,Coated,Orange,3,Retail Collector,Isabella Rodriguez,USA,Los Angeles,Wholesale,Website,537.6,17.45,10.92,0.0,Credit Card,COA-000174,2025-09-15,Y,NorthArt,C:\Permits\EXP-5074.pdf,32.0,42.0,11.3,Wholesale,6,,
S-0076,2025-07-07,I-0076,B-2025-076,Gemstone,Ammolite Triplet,AAA,Coated,Green,4,Retail Collector,Ethan Moore,USA,Seattle,Online,Referral,1480.0,49.67,10.59,0.0,PayPal,COA-000175,2025-07-09,Y,StoneHouse,C:\Permits\EXP-5075.pdf,74.0,50.0,22.8,Wholesale,2,,
S-0077,2025-02-10,I-0077,B-2025-077,Gemstone,Ammolite Triplet,AA,Coated,Orange,2,Retail Collector,Abigail Moore,Canada,Montreal,Online,Referral,567.0,37.1,32.27,26.5,PayPal,COA-000176,2025-11-08,Y,NorthArt,C:\Permits\EXP-5076.pdf,27.0,60.0,17.4,Wholesale,271,,
S-0078,2025-06-06,I-0078,B-2025-078,Gemstone,Ammolite Triplet,AA,Coated,Red,2,Retail Collector,Owen Taylor,USA,Los Angeles,Online,Website,297.5,6.77,24.14,0.0,Bank Transfer,COA-000177,2025-09-11,N,,C:\Permits\EXP-5077.pdf,25.0,34.0,6.7,Wholesale,97,,
S-0079,2025-01-15,I-0079,B-2025-079,Gemstone,Ammolite Triplet,AAA,Coated,Yellow,4,Gallery,James Smith,Canada,Toronto,In-Person,Website,472.0,5.06,20.96,23.35,PayPal,COA-000178,2025-09-19,Y,GemWorld,C:\Permits\EXP-5078.pdf,59.0,20.0,14.5,Wholesale,247,,
S-0080,2025-10-28,I-0080,B-2025-080,Gemstone,Ammolite Triplet,AA,Coated,Yellow,3,Retail Collector,Elizabeth Brown,Canada,Calgary,Online,Referral,223.3,33.55,20.74,9.49,PayPal,COA-000179,2025-11-01,N,,C:\Permits\EXP-5079.pdf,22.0,29.0,19.7,Wholesale,4,,
S-0081,2025-03-06,I-0081,B-2025-081,Gemstone,Ammolite Triplet,AAA,Coated,Blue,3,Retail Collector,Lily Thompson,Canada,Toronto,Wholesale,Walk-in,604.8,47.0,0.0,27.89,PayPal,COA-000180,2025-03-13,N,,C:\Permits\EXP-5080.pdf,56.0,27.0,9.9,Wholesale,7,,
S-0082,2025-01-09,I-0082,B-2025-082,Gemstone,Ammolite Triplet,AAA,Coated,Orange,4,Gallery,Jacob Johnson,Canada,Calgary,In-Person,Walk-in,280.8,18.8,0.0,13.1,Bank Transfer,COA-000181,2025-06-24,N,,C:\Permits\EXP-5081.pdf,39.0,18.0,5.6,Wholesale,166,,
